,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
5,Honda City Aspire Prosmatec 1.5 i-VTEC,3600000,Karachi,2016,45000,Petrol,Automatic,Karachi,Unlisted,Local,1500,Medium,Low
6,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,6475000,Lahore,2022,59500,Petrol,Automatic,Lahore,Super White,Local,1800,High,Medium
8,Honda City Aspire Prosmatec 1.5 i-VTEC,4250000,Karachi,2019,22000,Petrol,Automatic,Karachi,Unlisted,Local,1500,High,Low
9,Honda Civic 1.8 i-VTEC CVT,5200000,Lahore,2019,58000,Petrol,Automatic,Sindh,Burgundy,Local,1800,High,Medium
11,Honda Civic VTi Prosmatec 1.8 i-VTEC,3695000,Lahore,2013,75504,Petrol,Automatic,Lahore,Indigo,Local,1800,Medium,Medium
14,Suzuki Alto VXL AGS,3000000,Karachi,2022,14000,Petrol,Automatic,Karachi,Graphite Grey,Local,660,Medium,Low
15,Honda City i-DSI,1750000,Bahawalpur,2004,210000,Petrol,Not Available,Punjab,Metallic Grey,Local,1300,Low,High
17,Suzuki Alto VXR,860000,Karachi,2011,35000,Petrol,Not Available,Sindh,Silky Silver,Local,1000,Low,Low
19,DFSK Glory 580 Pro,5350000,Karachi,2021,16800,Petrol,Automatic,Sindh,Black,Imported,1500,High,Low
20,Honda Civic VTi Oriel 1.6,1700000,Haripur,2006,200000,Petrol,Not Available,Lahore,Silver,Imported,1600,Low,High
21,Suzuki Cultus VXRi,1300000,Lahore,2012,150000,Petrol,Not Available,Sindh,Green,Local,1000,Low,High
22,Suzuki Alto,295000,Charsadda,1991,200000,Not Available,Not Available,Lahore,Red,Local,660,Low,High
27,Toyota Vitz F 1.0,1600000,Swabi,2000,85000,Petrol,Automatic,Islamabad,Pink,Imported,1000,Low,Medium
28,Honda Vezel Hybrid Z,6900000,Daska,2018,100000,Hybrid,Automatic,Un-Registered,White,Imported,1500,High,Medium
29,Toyota Corolla GLi 1.3 VVTi,2120000,Lahore,2009,169146,Petrol,Not Available,Karachi,Gold,Local,1300,Low,High
30,Nissan Sunny,650000,Rawalpindi,1999,100000,Not Available,Not Available,Sindh,White,Imported,1600,Low,Medium
33,Toyota Aqua S,3650000,Lahore,2017,140000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,Medium,High
34,Honda Civic Oriel 1.8 i-VTEC CVT,5490000,Karachi,2020,55000,Petrol,Automatic,Karachi,Maroon,Local,1800,High,Medium
35,Suzuki Wagon R VXL,2250000,Lahore,2018,135000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,Medium,High
36,Honda City 1.3 i-VTEC,2700000,Lahore,2013,119000,Petrol,Not Available,Lahore,Modern Steel Metallic,Local,1300,Medium,High
37,Mercedes Benz C Class C180,2800000,Rawalpindi,2007,185000,Petrol,Automatic,Lahore,Blue,Imported,1800,Medium,High
40,Suzuki Cultus EURO II,1590000,Karachi,2015,49000,Petrol,Not Available,Karachi,Silky Silver,Local,1000,Low,Low
42,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3250000,Karachi,2013,68000,Petrol,Automatic,Karachi,Grey,Local,1800,Medium,Medium
43,Toyota Yaris ATIV CVT 1.3,4100000,Karachi,2020,42000,Petrol,Automatic,Karachi,Super White,Local,1300,High,Low
47,Honda City Aspire 1.5 i-VTEC,2950000,Lahore,2014,87000,Petrol,Not Available,Lahore,Ralley Red,Local,1500,Medium,Medium
48,Honda City 1.2L CVT,4525000,Lahore,2022,13400,Petrol,Automatic,Lahore,Taffeta White,Local,1200,High,Low
51,Toyota Corolla,900000,Karachi,2008,100000,Petrol,Not Available,Sindh,White,Local,1300,Low,Medium
52,Suzuki Alto VXR (CNG),1250000,Rawalpindi,2009,119000,Petrol,Not Available,Islamabad,White,Local,1000,Low,High
53,Toyota Corolla,800000,Peshawar,2013,110000,Petrol,Not Available,Peshawar,Silver,Imported,1200,Low,High
54,Toyota Corolla XLi VVTi,2390000,Gujranwala,2012,95000,Petrol,Not Available,Lahore,White,Local,1300,Medium,Medium
55,Toyota Corolla,3800000,Islamabad,2007,125000,Petrol,Automatic,Islamabad,White,Imported,1500,Medium,High
56,Suzuki Mehran VXR Euro II,1200000,Dadu,2017,55000,Petrol,Not Available,Badin,Silver,Local,800,Low,Medium
58,Honda City 1.3 i-VTEC Prosmatec,3725000,Islamabad,2018,45000,Petrol,Automatic,Punjab,White,Local,1300,Medium,Low
61,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,7525000,Lahore,2023,6500,Petrol,Automatic,Punjab,Silver Metallic,Local,1800,High,Low
67,Suzuki Alto VXR,2325000,Karachi,2021,21000,Petrol,Not Available,Sindh,Solid White,Local,660,Medium,Low
69,Honda City 1.3 i-VTEC Prosmatec,4050000,Lahore,2020,42754,Petrol,Automatic,Lahore,Lunar Silver Metallic,Local,1300,High,Low
70,Suzuki Alto VXL AGS,2700000,Karachi,2020,52000,Petrol,Automatic,Karachi,Silky Silver,Local,660,Medium,Medium
71,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,6800000,Toba tek singh,2022,44000,Petrol,Automatic,Islamabad,Super White,Local,1800,High,Low
72,Honda Civic VTi Prosmatec 1.8 i-VTEC,1950000,Rawalpindi,2008,254685,Petrol,Automatic,Islamabad,Black,Local,1800,Low,High
73,Suzuki Alto VXR,990000,Lahore,2009,100000,Petrol,Not Available,Lahore,Indica,Local,1000,Low,Medium
75,Honda Civic VTi 1.8 i-VTEC,1960000,Rawalpindi,2008,217000,Petrol,Not Available,Islamabad,White,Local,1800,Low,High
76,Toyota Corolla GLi Automatic 1.6 VVTi,2350000,Abbottabad,2011,107560,Petrol,Automatic,Sindh,Silver,Local,1300,Medium,High
80,Suzuki Alto VXR,2430000,Karachi,2022,41000,Petrol,Not Available,Sindh,Silky Silver,Local,660,Medium,Low
83,Toyota Corolla Altis Automatic 1.6,5350000,Faisalabad,2020,17000,Petrol,Automatic,Islamabad,Super White,Local,1600,High,Low
84,Honda Civic EXi,1995000,Islamabad,2005,190000,Petrol,Not Available,Islamabad,Black,Local,1500,Low,High
85,Hyundai Tucson AWD A/T Ultimate,7380000,Mirpur ak,2020,32000,Petrol,Automatic,Islamabad,Polar White,Local,2000,High,Low
86,Honda Vezel Hybrid Z,7695000,Lahore,2019,69000,Hybrid,Automatic,Un-Registered,Black,Imported,1500,High,Medium
87,Toyota Land Cruiser ZX,47000000,Lahore,2018,17000,Petrol,Automatic,Un-Registered,White,Imported,4600,High,Low
88,Toyota Yaris Hatchback,4410000,Karachi,2021,78000,Petrol,Automatic,Un-Registered,White,Imported,1000,High,Medium
89,Toyota Yaris Hatchback,4325000,Karachi,2021,89000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,High,Medium
90,Honda Civic Oriel 1.8 i-VTEC CVT,5255000,Islamabad,2018,114000,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,1800,High,High
93,Toyota Corolla Altis X Automatic 1.6,5150000,Karachi,2021,40000,Petrol,Automatic,Sindh,White,Local,1600,High,Low
94,Honda Civic Oriel 1.8 i-VTEC CVT,4750000,Multan,2016,108000,Petrol,Automatic,Islamabad,White,Local,1800,High,High
96,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,6850000,Karachi,2022,41000,Petrol,Automatic,Sindh,Attitude Black,Local,1800,High,Low
97,Toyota Corolla XLi VVTi,2970000,Islamabad,2014,190000,Petrol,Not Available,Lahore,Black,Local,1300,Medium,High
98,Mercedes Benz C Class C180,3800000,Lahore,2006,157355,Petrol,Automatic,Lahore,Iridium Silver,Local,1800,Medium,High
100,Toyota Corolla,2150000,Islamabad,1998,123,Petrol,Automatic,Islamabad,Silver,Imported,1500,Low,Low
101,Toyota Corolla GLi 1.3 VVTi,3800000,Lahore,2017,79984,Petrol,Not Available,Punjab,White,Local,1300,Medium,Medium
102,Suzuki Mehran VX (CNG),600000,Lahore,2008,100000,Not Available,Not Available,Lahore,Blue,Local,800,Low,Medium
104,Toyota Aqua S,3300000,Karachi,2012,150,Hybrid,Automatic,Karachi,Grey,Imported,1500,Medium,Low
105,Suzuki Mehran VXR (CNG),730000,Rawalpindi,2005,106000,Petrol,Not Available,Islamabad,White,Local,800,Low,High
109,Honda Civic 1.8 i-VTEC CVT,6600000,Islamabad,2021,27000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,High,Low
110,Honda City i-DSI,1385000,Sialkot,2006,200000,Petrol,Not Available,Lahore,Crystal Black,Local,1300,Low,High
111,Suzuki Alto VXR,2465000,Karachi,2022,21300,Petrol,Not Available,Sindh,White,Local,660,Medium,Low
112,Honda Civic VTi Oriel 1.8 i-VTEC,2300000,Lahore,2009,174000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,Medium,High
114,Toyota Prado TX L Package 2.7,26600000,Lahore,2019,19000,Petrol,Automatic,Un-Registered,Black,Imported,2700,High,Low
116,Toyota Aqua S,3750000,Islamabad,2013,210000,Hybrid,Automatic,Lahore,Grey,Imported,1500,Medium,High
117,Toyota Land Cruiser ZX,24200000,Lahore,2011,89000,Petrol,Automatic,Punjab,Black,Imported,4600,High,Medium
118,Toyota Prado TX 2.7,7550000,Karachi,2007,99000,Petrol,Automatic,Sindh,Crystal Pearl,Imported,2700,High,Medium
119,Honda Civic VTi Oriel 1.6,1590000,Islamabad,2005,170000,Petrol,Not Available,Lahore,Grey,Local,1600,Low,High
122,Suzuki Alto VXR,1200000,Multan,2012,60000,Petrol,Not Available,Punjab,Solid White,Local,1000,Low,Medium
130,Honda N Wgn G,3985000,Lahore,2023,3000,Petrol,Automatic,Un-Registered,Green,Imported,660,Medium,Low
131,Toyota Corolla Altis Automatic 1.6,5100000,Gujrat,2020,110000,Petrol,Automatic,Islamabad,Super White,Local,1600,High,High
132,Honda Vezel Hybrid Z,5200000,Lahore,2016,130000,Hybrid,Automatic,Islamabad,Blue,Imported,1500,High,High
133,Toyota Aqua S,5250000,Karachi,2017,85000,Hybrid,Automatic,Sindh,Silver,Imported,1500,High,Medium
136,Honda Civic VTi Oriel 1.8 i-VTEC,2200000,Narowal,2009,88000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,Low,Medium
140,Toyota C-HR G-LED,0,Lahore,2019,48000,Hybrid,Automatic,Un-Registered,White Pearl,Imported,1800,Low,Low
142,Suzuki Wagon R VXL,3325000,Lahore,2022,17000,Petrol,Not Available,Islamabad,Solid White,Local,1000,Medium,Low
145,Toyota Vitz F 1.0,2290000,Lahore,2010,130000,Petrol,Automatic,Lahore,Black Sand Pearl,Imported,1000,Medium,High
150,Toyota Corolla Altis Automatic 1.6,4150000,Swabi,2016,97000,Petrol,Automatic,Islamabad,Bronze,Local,1600,High,Medium
151,Suzuki Alto VXL AGS,3100000,Sialkot,2023,7500,Petrol,Automatic,Punjab,Solid White,Local,660,Medium,Low
154,Honda Civic VTi Prosmatec 1.8 i-VTEC,3100000,Islamabad,2006,240000,Petrol,Automatic,Islamabad,Silver,Imported,1800,Medium,High
155,Honda Civic Oriel 1.8 i-VTEC CVT,6600000,Lahore,2021,12000,Petrol,Automatic,Punjab,White,Local,1800,High,Low
156,Honda Civic VTi 1.8 i-VTEC,2150000,Lahore,2008,230000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,Low,High
